subject,number,code,title,source_url
ACMA,101,ACMA 101,may not take this course for further credit. Quantitative/Breadth-Science.,https://www.sfu.ca/students/calendar/2025/fall/courses/risk.html
ACMA,201,ACMA 201,Interest Theory and Applications,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,231,ACMA 231,may not take this course for further credit.,https://www.sfu.ca/students/calendar/2025/fall/courses/risk.html
ACMA,301,ACMA 301,Long-Term Actuarial Mathematics I,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,321,ACMA 321,Fundamentals of Short-Term Insurance,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,336,ACMA 336,may not take this course for further credit.,https://www.sfu.ca/students/calendar/2025/fall/courses/risk.html
ACMA,337,ACMA 337,may not take this course for further credit.,https://www.sfu.ca/students/calendar/2025/fall/courses/risk.html
ACMA,340,ACMA 340,or RISK 441 may not take this course for further credit.,https://www.sfu.ca/students/calendar/2025/fall/courses/risk.html
ACMA,355,ACMA 355,with a minimum grade of C. Quantitative.,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,360W,ACMA 360W,Actuarial Communication,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,395,ACMA 395,Special Topics in Actuarial Science,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,401,ACMA 401,Long-Term Actuarial Mathematics II,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,421,ACMA 421,Advanced Models for Short-Term Insurance,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,422,ACMA 422,or ACMA 470 may not take this course for further credit. Quantitative.,https://www.sfu.ca/students/calendar/2025/fall/courses/risk.html
ACMA,436,ACMA 436,may not take this course for further credit.,https://www.sfu.ca/students/calendar/2025/fall/courses/risk.html
ACMA,437,ACMA 437,may not take this course for further credit.,https://www.sfu.ca/students/calendar/2025/fall/courses/risk.html
ACMA,438,ACMA 438,Job Practicum V,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,455,ACMA 455,Loss Models II,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,465,ACMA 465,Demography and Mortality Models,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,475,ACMA 475,Theory of Pension,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,490,ACMA 490,Selected Topics in Actuarial Science,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,494,ACMA 494,may not take this course for further credit.,https://www.sfu.ca/students/calendar/2025/fall/courses/risk.html
ACMA,495,ACMA 495,may not take this course for further credit.,https://www.sfu.ca/students/calendar/2025/fall/courses/risk.html
ACMA,821,ACMA 821,may not take this course for further credit.,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,830,ACMA 830,Stochastic Processes for Insurance and Finance,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,831,ACMA 831,Advanced Actuarial Models,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ACMA,832,ACMA 832,may not take this course for further credit.,https://www.sfu.ca/students/calendar/2025/fall/courses/risk.html
ACMA,850,ACMA 850,Actuarial Science: Selected Topics,https://www.sfu.ca/students/calendar/2025/summer/courses/acma.html
ALS,401,ALS 401,Sources of Canadian Law and Legal Institutions,https://www.sfu.ca/students/calendar/2025/fall/courses/als.html
ALS,402,ALS 402,Private Law Principles in Canadian Law,https://www.sfu.ca/students/calendar/2025/fall/courses/als.html
ALS,403,ALS 403,Public Law of Canada: Criminal and Constitutional Law,https://www.sfu.ca/students/calendar/2025/fall/courses/als.html
ALS,404,ALS 404,Administrative Law in Canada,https://www.sfu.ca/students/calendar/2025/fall/courses/als.html
