elegacy_school_id,school_name,school_city,school_state,school_country,professor_id,professor_legacy_id,first_name,last_name,department,avg_rating,avg_difficulty,num_ratings,would_take_again_percent,is_saved
,Simon Fraser University,,,,VGVhY2hlci05MDA3MTg=,900718,Christopher,Pavsek,Film,4.3,2.8,32,100,False
,Simon Fraser University,,,,VGVhY2hlci0zMTI4MDcw,3128070,Susan,Bubra.,Business Administration,1.2,4.9,26,3.8462,False
,Simon Fraser University,,,,VGVhY2hlci0zMTM3OTI5,3137929,Sahar,Zaman,Political Science,4.9,1.9,7,100,False
,Simon Fraser University,,,,VGVhY2hlci0zMDkyMDY4,3092068,Ali, Bhagat,Public Policy,3.3,3,3,50,False
,Simon Fraser University,,,,VGVhY2hlci0zMDkyMDU1,3092055,Ali,Bhagat,Policy Studies,2,4,1,0,False
,Simon Fraser University,,,,VGVhY2hlci0yNTc0OTIw,2574920,Amy,Conroy,Criminology,2.3,4.1,220,31.8182,False
,Simon Fraser University,,,,VGVhY2hlci0zNjI1NTM=,362553,Ivona,Mladenovic,Biology,3,3.6,141,53.6232,False
,Simon Fraser University,,,,VGVhY2hlci0xMDIwNzMw,1020730,Brenda,Morrison,Criminal Justice,2,3.1,100,15.3846,False
,Simon Fraser University,,,,VGVhY2hlci0yNDI4ODk2,2428896,Justin,Chan,Mathematics,4.1,3.2,98,80.6122,False
,Simon Fraser University,,,,VGVhY2hlci0yMzAzMzE3,2303317,Keval,Vora,Computer Science,3.3,4,88,56.8182,False
,Simon Fraser University,,,,VGVhY2hlci0xNTkxNzQ3,1591747,Peter,Smith,Physics,2,4.1,85,15.1515,False
,Simon Fraser University,,,,VGVhY2hlci00ODQ0NzE=,484471,Eldon,Emberly,Physics,3.7,3.1,58,90.9091,False
,Simon Fraser University,,,,VGVhY2hlci0yNTM1NDE2,2535416,Yagiz,Aksoy,Computer Science,1.4,4.2,54,11.1111,False
,Simon Fraser University,,,,VGVhY2hlci0xNDc2OTYy,1476962,Enda,Brophy,Communication,4,2.9,53,65.2174,False
,Simon Fraser University,,,,VGVhY2hlci0yNTI2NDM5,2526439,Steven,Malcic,Communication,2.5,3.7,30,43.3333,False
