department,course_code,current_term,current_avg_difficulty,current_reviews,risk_label,risk_confidence,prob_easier,prob_stable,prob_harder,harder_minus_easier
Indigenous Studies,INDG101,2025-spring,1.5,2,harder,0.9652,0.0028,0.032,0.9652,0.9624
Education,EDUC323,2025-fall,1.5,2,harder,0.8505,0.0129,0.1366,0.8505,0.8376
Anthropology,SA101,2025-fall,1.5,2,harder,0.846,0.0163,0.1377,0.846,0.8297
Computer Science,CMPT454,2025-fall,2.0,2,harder,0.8144,0.0491,0.1365,0.8144,0.7653
Business Administration,BUS393,2025-fall,1.667,3,harder,0.8069,0.0292,0.1639,0.8069,0.7777
Communication,CMNS110,2026-spring,2.0,2,harder,0.7926,0.0226,0.1848,0.7926,0.77
Health Science,HSCI340,2024-fall,2.0,3,harder,0.7881,0.0303,0.1816,0.7881,0.7578
Communication,CMNS130,2026-spring,1.667,3,harder,0.7814,0.0281,0.1905,0.7814,0.7533
Psychology,PSYC268,2026-spring,2.0,3,harder,0.7291,0.047,0.2239,0.7291,0.6821
Philosophy,PHIL100W,2026-spring,1.333,3,harder,0.7214,0.051,0.2276,0.7214,0.6704
Mathematics,MATH251,2026-spring,3.0,2,harder,0.713,0.0712,0.2158,0.713,0.6418
History,HIST130,2025-fall,2.25,4,harder,0.7064,0.0232,0.2704,0.7064,0.6831
Criminology,CRIM316,2026-spring,3.0,2,harder,0.6994,0.1061,0.1945,0.6994,0.5933
Business Economics,BUS207,2025-summer,2.5,2,harder,0.6977,0.0601,0.2421,0.6977,0.6376
Education,EDUC471,2025-fall,1.667,3,harder,0.6962,0.0422,0.2616,0.6962,0.6539
Education,EDUC100W,2026-spring,1.667,3,harder,0.6851,0.0419,0.273,0.6851,0.6432
Humanities,HUM101W,2026-spring,2.0,2,harder,0.6686,0.057,0.2744,0.6686,0.6117
Physics,PHYS100,2026-spring,2.2,5,harder,0.647,0.0762,0.2768,0.647,0.5709
History,HIST151,2026-spring,3.25,4,harder,0.6251,0.1008,0.2741,0.6251,0.5242
Business Administration,BUS345,2026-spring,2.5,2,harder,0.6215,0.0946,0.284,0.6215,0.5269
Linguistics,LING220,2025-fall,2.0,5,harder,0.6209,0.0328,0.3463,0.6209,0.5881
Statistics,STAT201,2026-spring,1.8,5,harder,0.6175,0.0601,0.3224,0.6175,0.5574
Education,EDUC220,2025-fall,1.4,5,harder,0.6028,0.0358,0.3614,0.6028,0.5671
Health Science,HSCI305,2024-spring,3.0,2,harder,0.5993,0.1118,0.2889,0.5993,0.4874
Political Science,POL100,2026-spring,1.75,4,harder,0.5779,0.076,0.3461,0.5779,0.5018
Psychology,PSYC363,2025-fall,1.667,3,harder,0.562,0.1135,0.3245,0.562,0.4485
Education,EDUC100,2025-fall,2.0,2,harder,0.553,0.0456,0.4014,0.553,0.5074
Criminology,CRIM101,2026-spring,2.667,3,harder,0.5457,0.141,0.3132,0.5457,0.4047
Business Administration,BUS237,2026-spring,3.0,2,harder,0.5331,0.1534,0.3135,0.5331,0.3797
